Year,Atoll,Island,Treatment,Transect,Genus,Group,Percent,Proportion
2015,Great_Chagos_Bank,Eagle,Rats,1,n/a,CCA,19.67,0.1967
2015,Great_Chagos_Bank,Eagle,Rats,2,n/a,CCA,35,0.35
2015,Great_Chagos_Bank,Eagle,Rats,3,n/a,CCA,21.33,0.2133
2015,Great_Chagos_Bank,Eagle,Rats,4,n/a,CCA,29,0.29
2015,Peros_Banhos,Grande_Ile_Coquillage,No_rats,1,n/a,CCA,17,0.17
2015,Peros_Banhos,Grande_Ile_Coquillage,No_rats,2,n/a,CCA,9,0.09
2015,Peros_Banhos,Grande_Ile_Coquillage,No_rats,3,n/a,CCA,5.67,0.0567
2015,Peros_Banhos,Grande_Ile_Coquillage,No_rats,4,n/a,CCA,28.67,0.2867
2018,Peros_Banhos,Grande_Ile_Coquillage,No_rats,1,n/a,CCA,70,0.7
2018,Peros_Banhos,Grande_Ile_Coquillage,No_rats,2,n/a,CCA,40,0.4
2018,Peros_Banhos,Grande_Ile_Coquillage,No_rats,3,n/a,CCA,60,0.6
2018,Peros_Banhos,Grande_Ile_Coquillage,No_rats,4,n/a,CCA,60,0.6
2015,Peros_Banhos,Grande_Ile_Mapou,Rats,1,n/a,CCA,20.67,0.2067
2015,Peros_Banhos,Grande_Ile_Mapou,Rats,2,n/a,CCA,15.33,0.1533
2015,Peros_Banhos,Grande_Ile_Mapou,Rats,3,n/a,CCA,14,0.14
2015,Peros_Banhos,Grande_Ile_Mapou,Rats,4,n/a,CCA,3,0.03
2018,Peros_Banhos,Grande_Ile_Mapou,Rats,1,n/a,CCA,5,0.05
2018,Peros_Banhos,Grande_Ile_Mapou,Rats,2,n/a,CCA,5,0.05
2018,Peros_Banhos,Grande_Ile_Mapou,Rats,3,n/a,CCA,13.33,0.1333
2018,Peros_Banhos,Grande_Ile_Mapou,Rats,4,n/a,CCA,13.33,0.1333
2015,Salomon,Ile_de_la_Passe,No_rats,2,n/a,CCA,1.33,0.0133
2015,Salomon,Ile_de_la_Passe,No_rats,3,n/a,CCA,0.67,0.0067
2015,Salomon,Ile_de_la_Passe,No_rats,4,n/a,CCA,0.33,0.0033
2018,Salomon,Ile_de_la_Passe,No_rats,1,n/a,CCA,11.86,0.1186
2018,Salomon,Ile_de_la_Passe,No_rats,2,n/a,CCA,13.56,0.1356
2018,Salomon,Ile_de_la_Passe,No_rats,3,n/a,CCA,8.93,0.0893
2018,Salomon,Ile_de_la_Passe,No_rats,4,n/a,CCA,1.67,0.0167
2015,Salomon,Ile_Fouquet,Rats,3,n/a,CCA,1,0.01
2018,Salomon,Ile_Fouquet,Rats,1,n/a,CCA,8.33,0.0833
2018,Salomon,Ile_Fouquet,Rats,2,n/a,CCA,3.33,0.0333
2018,Salomon,Ile_Fouquet,Rats,3,n/a,CCA,5,0.05
2018,Salomon,Ile_Fouquet,Rats,4,n/a,CCA,6.78,0.0678
2015,Peros_Banhos,Ile_Longue,No_rats,1,n/a,CCA,15.67,0.1567
2015,Peros_Banhos,Ile_Longue,No_rats,2,n/a,CCA,18,0.18
2015,Peros_Banhos,Ile_Longue,No_rats,3,n/a,CCA,7.67,0.0767
2015,Peros_Banhos,Ile_Longue,No_rats,4,n/a,CCA,6.33,0.0633
2018,Peros_Banhos,Ile_Longue,No_rats,1,n/a,CCA,45,0.45
2018,Peros_Banhos,Ile_Longue,No_rats,2,n/a,CCA,38.33,0.3833
2018,Peros_Banhos,Ile_Longue,No_rats,3,n/a,CCA,35,0.35
2018,Peros_Banhos,Ile_Longue,No_rats,4,n/a,CCA,40,0.4
2015,Peros_Banhos,Ile_Poule,Rats,1,n/a,CCA,4.67,0.0467
2015,Peros_Banhos,Ile_Poule,Rats,2,n/a,CCA,4,0.04
2015,Peros_Banhos,Ile_Poule,Rats,3,n/a,CCA,4,0.04
2015,Peros_Banhos,Ile_Poule,Rats,4,n/a,CCA,15.67,0.1567
2018,Peros_Banhos,Ile_Poule,Rats,1,n/a,CCA,36.67,0.3667
2018,Peros_Banhos,Ile_Poule,Rats,2,n/a,CCA,8.33,0.0833
2018,Peros_Banhos,Ile_Poule,Rats,3,n/a,CCA,63.33,0.6333
2018,Peros_Banhos,Ile_Poule,Rats,4,n/a,CCA,36.67,0.3667
2015,Great_Chagos_Bank,Middle_Brother,No_rats,1,n/a,CCA,13,0.13
2015,Great_Chagos_Bank,Middle_Brother,No_rats,2,n/a,CCA,2.33,0.0233
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,n/a,CCA,21.67,0.2167
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,n/a,CCA,23.33,0.2333
2018,Great_Chagos_Bank,Middle_Brother,No_rats,3,n/a,CCA,35,0.35
2018,Great_Chagos_Bank,Middle_Brother,No_rats,4,n/a,CCA,13.33,0.1333
2015,Great_Chagos_Bank,Nelson_Island,No_rats,1,n/a,CCA,18,0.18
2015,Great_Chagos_Bank,Nelson_Island,No_rats,2,n/a,CCA,20.67,0.2067
2015,Great_Chagos_Bank,Nelson_Island,No_rats,3,n/a,CCA,35,0.35
2015,Great_Chagos_Bank,Nelson_Island,No_rats,4,n/a,CCA,16,0.16
2015,Peros_Banhos,PB_Ile_Anglaise,Rats,2,n/a,CCA,3,0.03
2015,Peros_Banhos,PB_Ile_Anglaise,Rats,3,n/a,CCA,0.67,0.0067
2018,Peros_Banhos,PB_Ile_Anglaise,Rats,1,n/a,CCA,10,0.1
2018,Peros_Banhos,PB_Ile_Anglaise,Rats,3,n/a,CCA,5,0.05
2018,Peros_Banhos,PB_Ile_Anglaise,Rats,4,n/a,CCA,1.67,0.0167
2015,Salomon,Sal_Ile_Anglaise,Rats,3,n/a,CCA,0.33,0.0033
2018,Salomon,Sal_Ile_Anglaise,Rats,1,n/a,CCA,1.67,0.0167
2018,Salomon,Sal_Ile_Anglaise,Rats,2,n/a,CCA,6.9,0.069
2018,Salomon,Sal_Ile_Anglaise,Rats,3,n/a,CCA,6.78,0.0678
